Date,Open,High,Low,Close,Volume
30-Oct-07,2058.78,2066.00,2037.75,2052.37,402154000
29-Oct-07,2051.62,2070.86,2044.09,2062.92,481228000
26-Oct-07,1987.20,2028.07,1968.82,2028.06,438858000
25-Oct-07,1967.08,1982.19,1941.05,1976.75,453612000
24-Oct-07,1966.55,2003.20,1923.07,1933.36,481127000
23-Oct-07,1936.92,1952.32,1909.61,1947.98,371171000
22-Oct-07,1901.15,1910.19,1875.23,1903.81,354483000
19-Oct-07,2003.27,2003.27,1970.10,1970.10,390278000
18-Oct-07,1989.60,2012.32,1977.50,2005.09,426884000
17-Oct-07,2000.39,2009.67,1933.82,1983.94,507309000
16-Oct-07,2014.36,2042.84,2001.30,2005.76,548706000
15-Oct-07,2043.93,2047.02,2012.04,2035.39,383873000
12-Oct-07,2047.67,2057.39,2020.80,2026.44,456901000
11-Oct-07,2040.35,2058.87,2033.45,2058.85,519170000
10-Oct-07,2033.69,2044.78,2026.90,2041.12,368707000
9-Oct-07,2014.94,2022.87,1995.05,2014.13,471522000
8-Oct-07,2020.34,2022.01,2002.43,2012.82,504195000
5-Oct-07,2007.84,2009.68,1990.82,1996.03,380390000
4-Oct-07,1998.56,2013.21,1992.01,2003.60,462563000
2-Oct-07,1991.00,2014.96,1981.64,2014.09,473922000
1-Oct-07,1961.95,1970.11,1953.53,1962.67,436096000
28-Sep-07,1950.99,1951.18,1936.86,1946.48,541690000
27-Sep-07,1944.87,1952.39,1935.02,1945.28,394523000
21-Sep-07,1909.37,1921.23,1902.11,1919.26,440059000
20-Sep-07,1902.23,1915.19,1894.76,1908.97,441854000
19-Sep-07,1892.78,1905.75,1886.95,1902.65,480112000
18-Sep-07,1867.61,1870.83,1837.22,1838.61,403834000
17-Sep-07,1873.65,1876.04,1853.45,1871.68,315811000
14-Sep-07,1856.17,1875.95,1849.37,1870.02,373100000
13-Sep-07,1817.87,1848.99,1805.88,1848.02,338424000
12-Sep-07,1853.94,1855.31,1813.33,1813.52,433936000
11-Sep-07,1844.68,1851.35,1827.90,1847.36,420500000
10-Sep-07,1829.10,1840.89,1827.76,1835.87,360190000
7-Sep-07,1886.60,1899.04,1869.56,1884.90,392540000
6-Sep-07,1862.00,1889.06,1844.64,1888.81,447294000
5-Sep-07,1883.83,1898.67,1859.52,1865.59,382864000
4-Sep-07,1881.17,1899.66,1871.87,1874.74,425710000
3-Sep-07,1876.92,1881.92,1863.21,1881.81,385653000
31-Aug-07,1844.28,1873.35,1844.09,1873.24,360373000
30-Aug-07,1859.45,1866.32,1836.09,1841.70,423271000
29-Aug-07,1773.59,1831.23,1773.05,1826.19,385910000
28-Aug-07,1806.58,1829.43,1792.07,1829.31,414125000
27-Aug-07,1825.97,1834.65,1802.58,1803.03,366028000
24-Aug-07,1793.17,1802.71,1775.07,1791.33,376031000
23-Aug-07,1801.48,1816.19,1795.07,1799.72,394699000
22-Aug-07,1741.93,1764.61,1737.06,1759.50,402644000
21-Aug-07,1740.85,1764.25,1721.18,1736.18,458897000
20-Aug-07,1700.48,1732.39,1693.42,1731.27,366720000
17-Aug-07,1702.66,1705.17,1626.87,1638.07,493204000
16-Aug-07,1754.19,1755.32,1681.71,1691.98,508224000
14-Aug-07,1841.15,1857.13,1801.07,1817.89,405732000
13-Aug-07,1840.89,1849.31,1820.96,1849.26,330052000
10-Aug-07,1853.22,1854.62,1814.30,1828.49,388049000
9-Aug-07,1923.99,1928.64,1899.32,1908.68,413873000
8-Aug-07,1879.61,1905.22,1873.99,1903.41,381958000
7-Aug-07,1888.58,1888.76,1849.68,1859.82,315654000
6-Aug-07,1832.54,1855.36,1829.22,1855.05,325170000
3-Aug-07,1875.07,1890.63,1865.75,1876.80,350261000
2-Aug-07,1874.98,1890.81,1810.62,1853.07,371814000
1-Aug-07,1920.07,1920.07,1836.28,1856.45,389622000
31-Jul-07,1915.45,1933.27,1899.56,1933.27,373768000
30-Jul-07,1874.08,1906.71,1859.12,1906.71,386209000
27-Jul-07,1924.01,1924.11,1863.39,1883.22,517224000
26-Jul-07,2012.04,2015.48,1963.46,1963.54,617007000
25-Jul-07,1992.16,2011.17,1962.16,2004.22,588350000
24-Jul-07,2001.52,2005.02,1975.75,1992.26,589377000
23-Jul-07,1978.05,1993.97,1968.55,1993.05,538578000
20-Jul-07,1949.50,1983.54,1939.69,1983.54,638754000
19-Jul-07,1935.10,1950.86,1922.14,1937.90,586289000
18-Jul-07,1953.25,1956.82,1930.51,1930.70,634998000
16-Jul-07,1965.66,1972.33,1932.86,1949.51,519502000
13-Jul-07,1946.08,1962.94,1941.55,1962.93,507569000
12-Jul-07,1897.59,1922.25,1897.59,1909.75,445537000
11-Jul-07,1880.71,1904.35,1875.43,1889.96,473883000
10-Jul-07,1887.35,1895.98,1881.36,1894.53,406270000
9-Jul-07,1870.35,1890.83,1865.79,1883.59,430588000
6-Jul-07,1855.03,1863.01,1838.75,1861.01,414382000
5-Jul-07,1841.56,1865.52,1836.93,1847.79,534044000
4-Jul-07,1815.77,1838.82,1814.44,1838.41,417011000
3-Jul-07,1791.69,1806.06,1787.45,1805.50,401957000
2-Jul-07,1741.41,1771.39,1736.63,1771.35,302331000
29-Jun-07,1755.84,1766.25,1742.88,1743.60,281675000
28-Jun-07,1745.82,1752.24,1737.93,1751.75,282804000
27-Jun-07,1749.01,1749.01,1724.82,1733.10,306932000
26-Jun-07,1762.48,1768.69,1732.44,1749.55,401034000
25-Jun-07,1754.20,1785.87,1747.86,1757.73,394468000
22-Jun-07,1801.20,1802.43,1759.95,1770.98,531617000
21-Jun-07,1775.48,1802.91,1770.17,1794.24,579501000
20-Jun-07,1812.82,1813.05,1778.26,1783.79,685989000
19-Jun-07,1813.53,1813.84,1797.18,1807.85,650869000
18-Jun-07,1786.29,1807.51,1784.44,1806.88,613244000
15-Jun-07,1772.03,1776.80,1762.22,1772.26,539961000
14-Jun-07,1742.12,1769.18,1740.70,1769.18,580495000
13-Jun-07,1721.37,1732.57,1714.76,1721.99,715327000
12-Jun-07,1714.54,1730.63,1712.13,1729.88,431747000
11-Jun-07,1740.46,1742.86,1709.96,1716.56,475878000
8-Jun-07,1735.96,1739.14,1717.18,1727.28,503237000
7-Jun-07,1722.47,1753.24,1717.30,1753.04,496218000
5-Jun-07,1735.87,1745.99,1721.02,1742.19,488031000
4-Jun-07,1734.27,1744.02,1713.50,1737.59,465229000
1-Jun-07,1712.97,1745.39,1707.75,1716.24,615433000
31-May-07,1683.35,1702.01,1677.78,1700.91,497058000
30-May-07,1661.83,1662.72,1638.03,1662.72,488636000
29-May-07,1663.32,1666.85,1653.24,1661.80,495105000
28-May-07,1650.53,1658.43,1646.15,1657.91,379269000
25-May-07,1629.18,1645.08,1627.59,1644.56,375034000
23-May-07,1647.44,1651.61,1638.36,1646.59,447334000
22-May-07,1634.09,1643.11,1627.01,1642.88,529315000
21-May-07,1602.64,1628.68,1602.64,1628.20,512785000
18-May-07,1613.12,1617.77,1600.24,1612.25,454777000
17-May-07,1614.00,1616.00,1608.21,1615.58,450568000
16-May-07,1591.07,1600.72,1586.00,1600.60,417084000
15-May-07,1600.91,1611.93,1589.24,1589.37,480250000
14-May-07,1612.73,1622.16,1599.87,1605.77,477817000
11-May-07,1588.09,1604.63,1582.76,1603.56,373583000
10-May-07,1602.56,1616.06,1599.68,1599.68,408579000
9-May-07,1582.91,1593.42,1578.58,1593.42,358531000
8-May-07,1585.52,1589.07,1577.18,1582.65,384029000
7-May-07,1574.86,1585.70,1574.86,1584.46,434480000
4-May-07,1563.16,1567.74,1556.62,1567.74,254508000
3-May-07,1563.42,1564.01,1555.28,1559.86,249677000
2-May-07,1550.39,1555.62,1546.60,1553.30,274336000
30-Apr-07,1538.69,1542.25,1530.67,1542.24,315970000
27-Apr-07,1547.20,1553.23,1537.37,1542.52,356441000
26-Apr-07,1560.22,1565.03,1553.13,1553.13,391552000
25-Apr-07,1558.20,1558.72,1536.12,1545.55,445538000
24-Apr-07,1545.61,1557.65,1538.11,1556.71,393475000
23-Apr-07,1545.45,1554.50,1538.33,1544.35,386979000
20-Apr-07,1518.58,1533.09,1518.58,1533.08,397530000
19-Apr-07,1536.89,1537.43,1506.14,1513.66,363738000
18-Apr-07,1532.57,1538.29,1530.02,1534.58,352532000
17-Apr-07,1538.89,1538.89,1524.33,1528.66,422556000
16-Apr-07,1523.89,1533.09,1519.30,1532.04,462199000
13-Apr-07,1523.82,1526.09,1512.36,1520.78,426238000
12-Apr-07,1510.27,1525.61,1507.56,1525.61,360181000
11-Apr-07,1508.68,1519.31,1507.57,1513.42,386765000
10-Apr-07,1500.79,1502.34,1492.35,1499.16,359301000
9-Apr-07,1489.79,1501.06,1489.13,1501.06,388207000
6-Apr-07,1487.73,1488.58,1477.69,1484.15,313663000
5-Apr-07,1485.53,1485.77,1478.45,1482.04,328412000
4-Apr-07,1474.65,1484.86,1471.05,1483.41,353988000
3-Apr-07,1463.41,1464.48,1452.56,1463.75,340652000
2-Apr-07,1456.19,1464.93,1456.06,1459.53,303521000
30-Mar-07,1457.58,1459.69,1447.85,1452.55,288432000
29-Mar-07,1434.58,1453.11,1432.80,1450.95,283080000
28-Mar-07,1451.47,1456.78,1433.12,1439.74,297972000
27-Mar-07,1450.02,1456.39,1442.49,1453.23,259867000
26-Mar-07,1451.12,1455.51,1444.25,1449.77,312613000
23-Mar-07,1449.99,1454.34,1443.04,1447.38,278884000
22-Mar-07,1452.13,1456.18,1447.79,1448.53,301021000
21-Mar-07,1446.07,1452.05,1435.36,1442.85,342963000
20-Mar-07,1449.43,1449.79,1440.42,1444.17,364484000
19-Mar-07,1425.22,1444.76,1420.89,1443.39,280843000
16-Mar-07,1428.63,1431.75,1416.30,1427.88,304139000
15-Mar-07,1418.77,1429.38,1414.98,1426.93,254363000
14-Mar-07,1409.66,1416.80,1405.13,1407.37,259289000
13-Mar-07,1441.60,1442.04,1433.67,1436.05,256424000
12-Mar-07,1429.68,1441.83,1429.68,1441.33,245053000
9-Mar-07,1433.27,1434.70,1415.71,1423.58,227388000
8-Mar-07,1409.02,1433.15,1408.34,1423.89,285796000
7-Mar-07,1415.35,1415.50,1397.83,1410.95,254195000
6-Mar-07,1382.70,1403.75,1382.70,1402.93,239219000
5-Mar-07,1400.80,1404.23,1375.84,1376.15,232595000
2-Mar-07,1407.19,1423.58,1406.63,1414.47,243110000
28-Feb-07,1396.44,1417.34,1393.96,1417.34,324108000
27-Feb-07,1468.28,1468.28,1453.85,1454.60,261582000
26-Feb-07,1466.92,1470.95,1462.19,1470.03,261756000
23-Feb-07,1470.44,1471.04,1459.81,1469.88,310566000
22-Feb-07,1452.71,1471.04,1452.62,1465.41,310280000
21-Feb-07,1455.18,1457.37,1444.84,1451.38,258240000
20-Feb-07,1450.96,1453.25,1443.97,1452.96,220471000
16-Feb-07,1444.46,1448.96,1439.03,1448.81,207157000
15-Feb-07,1450.55,1450.84,1441.79,1443.63,216082000
14-Feb-07,1430.02,1440.51,1430.01,1436.10,214653000
13-Feb-07,1412.72,1424.66,1410.81,1418.44,219251000
12-Feb-07,1416.84,1416.84,1403.75,1414.29,209291000
9-Feb-07,1424.49,1432.29,1422.97,1427.68,227566000
8-Feb-07,1424.99,1431.01,1416.05,1423.58,189043000
7-Feb-07,1430.85,1431.25,1419.48,1426.29,193224000
6-Feb-07,1416.65,1428.91,1414.58,1428.58,188881000
5-Feb-07,1413.77,1420.42,1409.71,1417.95,181594000
2-Feb-07,1386.78,1413.34,1386.06,1413.14,219152000
